,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,waingapu,-9.6567,120.2641,86.05,68,53,7.34,ID,1613193745
369,nacala,-14.5428,40.6728,79.14,81,99,13.8,MZ,1613193746
370,hobyo,5.3505,48.5268,76.96,71,91,16.06,SO,1613193746
371,wamba,8.9333,8.6,71.67,20,66,3.78,NG,1613193746
372,comendador,18.8775,-71.7028,68.45,74,11,3.94,DO,1613193746
373,pangnirtung,66.1451,-65.7125,-16.96,83,100,1.36,CA,1613193747
374,brawley,32.9787,-115.5303,59.95,58,1,8.05,US,1613193747
375,bati,11.1833,40.0167,64.24,46,65,2.82,ET,1613193747
376,peniche,39.3558,-9.3811,48.92,91,100,1.01,PT,1613193611
377,nouakchott,18.0858,-15.9785,60.8,20,0,10.36,MR,1613193748
378,trat,12.5,102.5,88.0,38,20,6.91,TH,1613193748
379,porto novo,6.4965,2.6036,84.2,84,40,6.91,BJ,1613193748
380,walvis bay,-22.9575,14.5053,67.91,94,66,3.44,NA,1613193749
381,manggar,-2.8833,108.2667,86.13,65,49,11.7,ID,1613193749
382,santa isabel do rio negro,-0.4139,-65.0192,74.03,96,41,1.74,BR,1613193749
383,calamar,10.2511,-74.9146,77.0,88,20,3.44,CO,1613193749
384,kazanskaya,45.4106,40.4361,28.0,91,26,12.26,RU,1613193750
385,jarocin,51.9727,17.5026,22.73,77,91,11.99,PL,1613193750
386,te anau,-45.4167,167.7167,65.71,42,42,8.37,NZ,1613193619
387,sayat,38.7839,63.8803,50.0,66,0,2.3,TM,1613193750
388,bowen,-20.0167,148.2333,91.4,29,94,8.05,AU,1613193751
389,atbasar,51.8,68.3333,28.85,98,100,8.01,KZ,1613193751
390,boksitogorsk,59.474,33.8485,-4.52,88,100,4.79,RU,1613193751
391,puerto baquerizo moreno,-0.9,-89.6,76.89,87,94,9.64,EC,1613193751
392,saint-pierre,-21.3393,55.4781,82.85,58,20,28.77,RE,1613193752
393,vestmanna,62.1564,-7.1664,37.4,70,90,21.85,FO,1613193752
394,merauke,-8.4667,140.3333,84.61,74,100,6.91,ID,1613193752
395,puerto colombia,10.9878,-74.9547,78.8,83,20,5.75,CO,1613193753
396,rosario do sul,-30.2583,-54.9142,66.2,94,1,4.5,BR,1613193753
397,kirakira,-10.4544,161.9205,83.62,77,99,9.62,SB,1613193754
398,lumberton,34.6182,-79.0086,35.04,100,90,5.75,US,1613193754
399,dunedin,-45.8742,170.5036,61.12,79,72,10.0,NZ,1613193755
400,san cristobal,7.7669,-72.225,66.51,73,64,1.61,VE,1613193755
401,currais novos,-6.2608,-36.5178,73.42,82,2,17.69,BR,1613193615
402,makakilo city,21.3469,-158.0858,75.22,64,75,3.44,US,1613193756
403,bell ville,-32.6259,-62.6887,64.58,99,4,4.14,AR,1613193756
404,tingloy,13.6609,120.8711,82.0,81,40,5.99,PH,1613193757
405,sur,22.5667,59.5289,74.93,42,0,1.9,OM,1613193757
406,chapais,49.7834,-74.8492,-5.8,77,90,4.61,CA,1613193758
407,khandagayty,50.7333,92.05,0.55,82,0,3.06,RU,1613193759
408,vanimo,-2.6741,141.3028,79.59,81,100,3.74,PG,1613193759
409,chabahar,25.2919,60.643,71.38,55,0,3.78,IR,1613193759
410,port-cartier,50.0334,-66.8654,14.0,73,90,2.3,CA,1613193662
411,olinda,-8.0089,-34.8553,78.8,73,40,14.97,BR,1613193760
412,guerande,47.3291,-2.4283,30.09,69,90,12.66,FR,1613193760
413,kiama,-34.6833,150.8667,66.6,96,95,1.99,AU,1613193761
414,whitehorse,60.7161,-135.0538,-18.4,76,1,3.44,CA,1613193761
415,dawson creek,55.7666,-120.2362,-18.4,76,1,2.3,CA,1613193716
416,glenwood springs,39.5505,-107.3248,29.34,93,90,6.62,US,1613193762
417,kutum,14.2,24.6667,58.28,35,51,12.1,SD,1613193762
418,vila,42.0304,-8.1588,45.0,94,100,3.47,PT,1613193763
419,mayskiy,47.6931,40.1025,19.4,73,40,11.18,RU,1613193763
420,nelson bay,-32.7167,152.15,70.68,100,90,20.71,AU,1613193763
421,misasi,-3.0,33.0833,69.8,88,75,5.75,TZ,1613193764
422,binabalian,16.4202,119.9279,78.24,71,16,8.63,PH,1613193765
423,hamilton,39.1834,-84.5333,24.44,74,90,9.22,US,1613193765
424,kamenka,51.3223,42.7678,19.99,85,100,10.0,RU,1613193765
425,cockburn town,21.4612,-71.1419,76.82,77,0,23.49,TC,1613193741
426,namatanai,-3.6667,152.4333,84.02,74,80,7.25,PG,1613193766
427,namibe,-15.1961,12.1522,71.94,77,28,2.8,AO,1613193767
428,samarai,-10.6167,150.6667,84.43,66,37,10.04,PG,1613193767
429,muroto,33.2833,134.15,62.6,67,75,12.66,JP,1613193565
430,formosa,-26.1775,-58.1781,71.6,88,0,3.31,AR,1613193767
431,mandan,46.8267,-100.8896,-18.6,83,75,4.61,US,1613193768
432,manzanillo,20.3433,-77.1167,72.66,82,2,1.57,CU,1613193769
433,laguna,38.421,-121.4238,53.17,76,75,9.22,US,1613193769
434,buenos aires,-34.6132,-58.3772,71.53,94,0,2.3,AR,1613193609
435,lancaster,40.2504,-76.2499,26.69,46,90,5.75,US,1613193770
436,goderich,43.7501,-81.7165,6.8,78,94,5.75,CA,1613193770
437,byron bay,-28.65,153.6167,83.23,69,40,12.66,AU,1613193771
438,gigmoto,13.7796,124.39,79.14,84,72,11.88,PH,1613193771
439,ponta delgada,37.7333,-25.6667,60.91,88,40,18.41,PT,1613193771
440,hibbing,47.4272,-92.9377,-31.0,87,1,3.69,US,1613193772
441,prince rupert,54.3161,-130.3201,33.62,27,75,11.5,CA,1613193734
442,presidente medici,-11.1753,-61.9014,73.22,96,100,2.75,BR,1613193772
443,deputatskiy,69.3,139.9,-17.73,90,100,2.66,RU,1613193773
444,birjand,32.8663,59.2211,46.4,23,0,3.11,IR,1613193773
445,alofi,-19.0595,-169.9187,84.2,74,69,8.05,NU,1613193621
446,umm kaddadah,13.6017,26.6876,67.8,24,0,20.15,SD,1613193774
447,belaya gora,68.5333,146.4167,-23.19,80,0,3.96,RU,1613193774
448,tupa,-21.9347,-50.5136,67.14,97,100,4.12,BR,1613193774
449,college,64.8569,-147.8028,-5.26,77,1,2.42,US,1613193727
450,avera,33.194,-82.5271,40.06,93,90,5.75,US,1613193775
451,los llanos de aridane,28.6585,-17.9182,62.6,63,0,11.5,ES,1613193775
452,tautira,-17.7333,-149.15,78.4,73,40,13.8,PF,1613193776
453,coahuayana,18.7333,-103.6833,62.06,82,12,3.06,MX,1613193776
454,bereda,43.2686,-7.5406,47.68,85,100,10.0,ES,1613193776
455,marechal deodoro,-9.7103,-35.895,75.2,94,75,3.44,BR,1613193776
456,guarapari,-20.6667,-40.4975,74.59,88,0,3.44,BR,1613193777
457,odweyne,9.4092,45.064,66.99,26,88,4.09,SO,1613193777
458,ovalle,-30.5983,-71.2003,58.87,82,0,0.49,CL,1613193778
459,iracoubo,5.4802,-53.2011,77.63,88,85,12.57,GF,1613193778
460,limbang,4.75,115.0,80.29,83,75,8.05,MY,1613193778
461,ipixuna,-1.7625,-48.8043,77.0,94,0,4.61,BR,1613193779
462,kriel,-26.2739,29.2253,62.51,83,64,3.0,ZA,1613193780
463,berekum,7.4534,-2.584,72.0,97,3,4.59,GH,1613193780
464,san ramon,37.7799,-121.978,50.77,82,90,9.22,US,1613193780
465,muisne,0.6,-80.0333,76.78,84,100,2.55,EC,1613193781
466,dongsheng,39.8161,109.9776,41.59,52,98,11.18,CN,1613193781
467,boddam,57.4667,-1.7833,31.66,64,90,28.77,GB,1613193782
468,qaqortoq,60.7167,-46.0333,42.8,31,75,28.77,GL,1613193782
469,moyobamba,-6.05,-76.9667,66.58,93,93,0.13,PE,1613193782
470,soyaux,45.65,0.2,25.84,93,32,4.61,FR,1613193783
471,lashio,22.9333,97.75,79.16,31,1,3.15,MM,1613193783
472,colac,-38.3333,143.5833,63.05,60,54,3.0,AU,1613193783
473,fairview,40.8126,-73.999,28.35,34,90,5.75,US,1613193622
474,san quintin,30.4833,-115.95,56.39,78,4,13.78,MX,1613193723
475,chikhli,20.35,76.25,83.26,24,24,12.28,IN,1613193785
476,marshall,34.3834,-86.3333,32.9,100,90,4.61,US,1613193785
477,haines junction,60.7522,-137.5108,-20.2,76,0,3.44,CA,1613193785
478,vallenar,-28.5708,-70.7581,61.16,71,0,1.59,CL,1613193785
479,innisfail,-17.5333,146.0333,83.75,65,100,6.15,AU,1613193786
480,ordu,40.9086,37.6845,41.0,100,75,4.61,TR,1613193745
481,santa cruz,-17.8,-63.1667,69.8,88,75,3.44,BO,1613193786
482,mnogovershinnyy,53.9353,139.9242,16.2,97,100,0.92,RU,1613193786
483,warrnambool,-38.3833,142.4833,69.01,62,0,11.63,AU,1613193787
484,bredy,52.4153,60.3411,21.92,97,65,7.7,RU,1613193787
485,mantua,45.1667,10.7833,30.69,59,100,10.0,IT,1613193788
486,pisco,-13.7,-76.2167,72.79,73,0,8.05,PE,1613193788
487,atambua,-9.1061,124.8925,81.79,79,73,5.3,ID,1613193675
488,wagar,16.1525,36.2032,69.58,77,0,6.29,SD,1613193788
489,ixtapa,20.7,-105.2,68.0,83,75,2.68,MX,1613193789
490,elkhart,41.5823,-85.8344,19.76,79,1,4.61,US,1613193789
491,ternate,0.8,127.4,84.25,69,77,6.96,ID,1613193789
492,balta,47.9355,29.6198,8.49,91,100,18.72,UA,1613193790
493,parksville,49.3163,-124.3195,31.26,72,100,26.46,CA,1613193790
494,fare,-16.7,-151.0167,82.02,72,10,10.6,PF,1613193790
495,mayor pablo lagerenza,-19.9309,-60.7718,70.41,81,14,3.49,PY,1613193791
496,bundaberg,-24.85,152.35,85.48,48,4,14.97,AU,1613193791
497,coquimbo,-29.9533,-71.3436,60.8,88,0,5.75,CL,1613193633
498,catuday,16.2923,119.8062,77.45,72,6,9.91,PH,1613193791
499,sumbuya,7.6467,-11.9611,73.47,93,0,1.81,SL,1613193792
500,high rock,26.6208,-78.2833,75.2,88,20,8.05,BS,1613193792
501,sao filipe,14.8961,-24.4956,72.16,64,0,13.27,CV,1613193792
502,dwarka,22.2394,68.9678,75.4,49,0,5.77,IN,1613193792
503,medzev,48.7004,20.8937,5.77,85,0,1.14,SK,1613193793
504,baykit,61.67,96.37,-14.13,82,99,2.08,RU,1613193793
505,usinsk,65.9939,57.5281,-21.03,88,97,3.22,RU,1613193793
506,valparaiso,-33.0393,-71.6273,64.99,78,49,7.0,CL,1613193550
507,isla vista,34.4133,-119.861,55.72,47,1,3.44,US,1613193794
508,ossora,59.2353,163.0719,-3.62,82,0,11.59,RU,1613193794
509,tazovskiy,67.4667,78.7,-34.89,82,73,6.29,RU,1613193794
510,alice springs,-23.7,133.8833,80.06,83,90,11.5,AU,1613193688
511,meadow lake,34.8014,-106.5436,40.8,53,40,5.75,US,1613193795
512,moose factory,51.2585,-80.6094,-14.8,76,20,8.05,CA,1613193671
513,ippy,6.2679,21.2247,67.14,25,6,4.38,CF,1613193795
514,saraza,8.7356,117.78,83.64,73,80,1.5,PH,1613193796
515,mocuba,-16.8392,36.9856,75.13,93,97,4.61,MZ,1613193796
516,oranjemund,-28.55,16.4333,62.69,93,72,10.2,NA,1613193543
517,barra do garcas,-15.89,-52.2567,70.27,96,100,3.0,BR,1613193797
518,zyryanka,65.75,150.85,-23.66,85,16,4.52,RU,1613193797
519,ponta do sol,32.6667,-17.1,50.23,73,23,3.0,PT,1613193797
520,chik,54.9928,82.4311,-20.2,76,72,2.24,RU,1613193798
521,staryy nadym,65.6118,72.6842,-18.94,87,100,3.91,RU,1613193798
522,rawson,-43.3002,-65.1023,71.62,65,1,22.91,AR,1613193798
523,chernitsyno,51.5074,36.051,5.0,78,75,8.95,RU,1613193798
524,aksha,50.2814,113.2867,4.6,80,0,14.12,RU,1613193799
525,champerico,14.3,-91.9167,61.41,94,14,8.95,GT,1613193799
526,tikamgarh,24.745,78.8333,79.34,21,0,6.55,IN,1613193799
527,tabou,4.423,-7.3528,78.12,90,0,6.87,CI,1613193800
528,sisimiut,66.9395,-53.6735,9.27,92,77,3.27,GL,1613193800
529,opuwo,-18.0607,13.84,62.53,84,97,2.89,NA,1613193673
530,talcahuano,-36.7167,-73.1167,59.0,82,0,3.44,CL,1613193800
531,balkhash,46.844,74.9804,14.0,79,0,13.42,KZ,1613193801
532,tsumeb,-19.2333,17.7167,63.03,91,98,9.86,NA,1613193801
533,les cayes,18.2,-73.75,74.25,74,1,4.92,HT,1613193801
534,katsuura,35.1333,140.3,58.01,58,75,8.05,JP,1613193802
535,bintulu,3.1667,113.0333,77.9,94,40,4.61,MY,1613193802
536,tezu,27.9167,96.1667,81.9,16,18,4.12,IN,1613193802
537,onega,63.9061,38.1404,-3.42,91,96,8.23,RU,1613193803
538,kaliua,-5.0606,31.7936,66.06,94,99,2.66,TZ,1613193803
539,saint anthony,45.0205,-93.218,-8.5,54,1,5.75,US,1613193803
540,chipping sodbury,51.5381,-2.3938,27.21,77,100,3.0,GB,1613193803
541,itarema,-2.9248,-39.9167,77.97,87,3,8.59,BR,1613193804
542,buzmeyin,38.0507,58.2056,53.6,50,0,6.91,TM,1613193804
543,verkhnyaya inta,65.9811,60.3094,-20.67,87,94,3.91,RU,1613193804
544,klaebu,63.2976,10.4826,23.74,51,90,13.8,NO,1613193804
545,sfantu gheorghe,45.8667,25.7833,9.57,76,90,4.0,RO,1613193747
546,boma,7.0805,-2.1697,72.63,97,8,3.04,GH,1613193805
547,viedma,-40.8135,-62.9967,68.0,85,100,12.48,AR,1613193805
548,palitana,21.5167,71.8333,78.8,34,0,6.06,IN,1613193805
549,isangel,-19.55,169.2667,80.6,83,75,2.3,VU,1613193806
550,komsomolskiy,40.4272,71.7189,53.6,43,99,4.61,UZ,1613193806
551,brigantine,39.4101,-74.3646,27.57,74,90,4.61,US,1613193806
552,marietta,33.9526,-84.5499,40.41,100,90,8.05,US,1613193636
